date,city,weekdays,high_temp,low_temp,weather,w_direct,w_force
2012/8/11,北京,星期六,30,24,多云,微风,小于3级
2012/8/12,北京,星期日,28,23,阵雨,微风,小于3级
2012/8/13,北京,星期一,30,21,多云~晴,微风,小于3级
2012/8/14,北京,星期二,28,22,多云~阴,微风,小于3级
2012/8/15,北京,星期三,31,19,阵雨~晴,微风,小于3级
2012/8/16,北京,星期四,31,22,晴~多云,微风,小于3级
2012/8/17,北京,星期五,29,22,多云~阵雨,微风,小于3级
2012/8/18,北京,星期六,28,22,阵雨,微风,小于3级
2012/8/19,北京,星期日,31,22,阴~晴,微风,小于3级
2012/8/20,北京,星期一,30,22,多云~阴,微风,小于3级
2012/8/21,北京,星期二,29,21,阵雨~晴,北风,3-4级
2012/8/22,北京,星期三,29,17,晴,北风~微风,3-4级~小于3级
2012/8/23,北京,星期四,30,16,晴,微风,小于3级
2012/8/24,北京,星期五,29,18,晴,微风,小于3级
2012/8/25,北京,星期六,30,18,晴,微风,小于3级
2012/8/26,北京,星期日,29,19,晴~多云,微风,小于3级
2012/8/27,北京,星期一,27,22,阵雨,微风,小于3级
2012/8/28,北京,星期二,32,21,雷阵雨~多云,微风,小于3级
2012/8/29,北京,星期三,34,22,晴,微风,小于3级
2012/8/30,北京,星期四,34,22,晴,微风,小于3级
2012/8/31,北京,星期五,32,24,多云~阴,微风,小于3级
2012/9/1,北京,星期六,29,24,阴~雷阵雨,微风,小于3级
2016/1/28,广州,星期四,14,9,大到暴风雨,微风,小于3级
2012/9/3,北京,星期一,26,17,多云~晴,北风~微风,3-4级~小于3级
2012/9/4,北京,星期二,26,15,晴,微风,小于3级
2012/9/5,北京,星期三,27,14,晴~多云,微风,小于3级
2012/9/6,北京,星期四,24,15,晴~阵雨,微风,小于3级
2012/9/7,北京,星期五,25,17,阵雨~阴,微风,小于3级
2012/9/8,北京,星期六,27,18,多云,微风,小于3级
2012/9/9,北京,星期日,29,17,晴,微风,小于3级
2012/9/10,北京,星期一,27,19,晴~多云,微风,小于3级
2016/6/12,深圳,星期日,29,25,大到暴风雨,微风,小于3级
2012/9/12,北京,星期三,24,17,中雨~多云,北风,3-4级~4-5级
